No.,2-isogeny-walk,3-isogeny-walk
0,71764248,44780626
1,71824979,44785127
2,71845816,44789320
3,71877996,44873158
4,71913021,44890170
5,71922005,44891891
6,71954185,44897006
7,71960088,44938798
8,71993499,44960966
9,71994272,44963126
10,71995953,44972473
11,72013221,44986710
12,72023521,45002041
13,72027568,45020817
14,72031010,45030193
15,72052746,45046520
16,72077333,45051129
17,72086903,45066042
18,72093450,45073126
19,72095346,45078132
20,72098753,45085642
21,72119089,45086784
22,72127848,45087381
23,72147000,45090296
24,72171520,45093360
25,72177225,45099741
26,72181012,45110776
27,72210933,45127768
28,72211799,45136238
29,72214040,45145055
30,72222948,45149169
31,72226372,45152068
32,72234699,45168336
33,72236606,45168576
34,72258925,45173822
35,72274035,45175806
36,72281736,45189985
37,72286239,45193909
38,72288562,45196426
39,72293576,45196635
40,72298260,45198935
41,72299697,45199939
42,72307365,45213931
43,72313008,45220381
44,72320850,45221680
45,72321985,45223774
46,72327496,45225697
47,72331018,45228379
48,72344779,45228520
49,72348838,45230787
50,72351925,45232380
51,72359597,45236323
52,72376925,45241863
53,72384183,45253438
54,72394937,45256262
55,72401262,45268791
56,72421550,45274080
57,72421641,45282081
58,72422479,45288328
59,72423621,45290516
60,72433848,45295018
61,72448337,45300236
62,72461654,45306044
63,72461772,45309247
64,72462004,45317181
65,72463220,45318246
66,72484083,45318300
67,72486090,45321652
68,72491903,45326622
69,72499118,45330629
70,72499756,45331325
71,72502252,45331824
72,72508682,45334040
73,72510109,45338211
74,72510773,45344289
75,72516058,45361895
76,72517246,45375983
77,72522019,45376405
78,72549726,45388101
79,72558590,45394997
80,72579425,45415858
81,72590536,45431288
82,72601131,45435885
83,72604482,45446439
84,72622135,45455958
85,72622998,45459043
86,72634319,45468575
87,72637685,45524755
88,72643056,45554983
89,72671524,45570614
90,72688050,45571512
91,72705963,45575077
92,72714006,45592248
93,72720397,45601682
94,72819138,45607016
95,72839589,45620354
96,72883803,45630810
97,72897623,45658258
98,72924504,45663281
99,73338555,45797209
