No.,2-isogeny-walk,3-isogeny-walk
0,18988442,11141964
1,19128364,11147069
2,19131701,11180911
3,19159645,11196948
4,19191125,11228049
5,19211939,11258990
6,19223567,11281704
7,19255150,11288326
8,19279781,11289487
9,19313112,11295214
10,19326869,11298116
11,19333409,11298582
12,19351583,11310621
13,19352323,11312814
14,19367404,11319900
15,19367996,11328174
16,19370015,11329570
17,19381082,11330636
18,19388147,11337604
19,19393374,11342728
20,19395760,11343682
21,19400469,11354695
22,19403811,11356827
23,19416705,11360679
24,19419314,11364742
25,19419916,11367731
26,19441715,11367974
27,19442078,11386145
28,19443158,11390408
29,19457106,11393815
30,19467211,11395956
31,19468430,11396331
32,19470856,11398577
33,19472680,11403720
34,19475800,11403958
35,19484877,11404382
36,19486242,11404969
37,19493721,11407172
38,19510066,11409677
39,19513299,11410065
40,19513669,11410448
41,19517499,11428148
42,19518426,11435179
43,19527482,11444903
44,19527897,11445303
45,19531699,11448489
46,19536588,11456757
47,19538315,11462264
48,19539004,11464802
49,19539389,11465540
50,19557138,11472750
51,19560929,11473876
52,19568247,11476884
53,19573081,11478412
54,19576743,11478819
55,19579537,11479891
56,19593579,11485366
57,19603031,11486203
58,19607421,11489523
59,19611938,11490297
60,19615870,11500158
61,19624832,11502163
62,19625322,11516604
63,19625516,11520001
64,19629929,11524354
65,19658442,11526929
66,19665341,11529407
67,19666475,11531989
68,19669111,11543285
69,19672686,11556587
70,19678054,11585039
71,19686045,11585382
72,19687467,11586417
73,19688545,11610846
74,19688814,11619443
75,19692155,11635288
76,19692752,11635992
77,19692944,11636260
78,19696097,11641220
79,19697613,11659433
80,19698689,11672183
81,19700165,11673145
82,19701772,11681432
83,19708980,11683072
84,19714803,11686043
85,19715095,11689834
86,19731112,11702210
87,19762913,11713230
88,19767855,11713254
89,19775403,11724286
90,19778030,11747754
91,19804798,11764083
92,19814728,11765723
93,19822652,11766518
94,19837249,11781493
95,19859561,11823420
96,19862613,11862950
97,19906867,11979548
98,19927838,12039370
99,20935983,12574059
