No.,2-isogeny-walk,3-isogeny-walk
0,63824938,28063100
1,63842892,28064681
2,63962576,28120317
3,64015122,28121451
4,64054304,28125741
5,64058010,28160042
6,64059963,28208517
7,64063543,28213162
8,64070218,28227461
9,64083045,28228557
10,64084189,28233760
11,64108210,28235642
12,64120114,28243309
13,64126689,28245040
14,64161972,28248374
15,64166636,28261600
16,64176392,28294099
17,64187788,28300433
18,64195100,28304282
19,64198012,28306069
20,64238079,28329673
21,64243669,28335449
22,64253094,28344989
23,64264399,28348497
24,64265003,28348774
25,64269127,28356768
26,64276019,28364437
27,64283416,28367061
28,64286722,28371209
29,64301004,28374047
30,64302048,28375375
31,64307962,28376246
32,64309384,28380860
33,64313969,28382502
34,64315329,28391210
35,64322432,28400038
36,64323900,28407260
37,64335824,28413424
38,64338794,28423838
39,64343468,28428200
40,64348054,28432745
41,64349893,28433885
42,64361480,28440792
43,64375004,28441396
44,64379662,28444130
45,64399699,28446914
46,64406697,28452057
47,64414019,28454676
48,64423994,28462209
49,64437745,28472958
50,64438885,28488955
51,64440223,28493120
52,64445649,28499763
53,64446731,28507187
54,64451591,28509358
55,64454999,28510571
56,64458767,28512344
57,64463790,28518147
58,64480120,28521899
59,64498819,28521907
60,64506340,28522019
61,64516369,28523514
62,64530735,28525008
63,64549204,28525088
64,64549295,28541650
65,64552922,28545490
66,64553318,28552646
67,64568547,28566211
68,64579767,28572941
69,64582352,28573706
70,64586827,28575169
71,64587154,28578404
72,64587434,28579118
73,64588142,28582396
74,64600088,28583258
75,64602515,28587166
76,64603103,28588199
77,64608977,28588744
78,64630065,28598767
79,64642373,28603368
80,64644381,28614162
81,64646926,28620994
82,64652139,28633162
83,64684801,28634619
84,64715751,28645296
85,64715985,28652128
86,64719760,28659461
87,64721231,28669130
88,64819240,28680647
89,64819629,28686678
90,64882795,28694781
91,64890268,28704054
92,64908801,28713460
93,64913128,28727438
94,64916169,28734101
95,64927879,28760029
96,64936896,28766557
97,64953155,28877682
98,64981996,28901058
99,65134698,28954591
