No.,2-isogeny-walk,3-isogeny-walk
0,968776028,503338008
1,969983930,503347366
2,970033048,503360902
3,970582238,503416258
4,970877422,503557762
5,970895606,503711916
6,970914042,503759710
7,970923450,503775702
8,971052100,503821622
9,971239014,503975452
10,971373600,503986464
11,971423640,503995338
12,971452826,504113646
13,971512320,504155672
14,971530200,504163214
15,971642112,504238158
16,971963360,504259764
17,972011858,504359718
18,972061646,504376576
19,972063318,504424044
20,972096252,504524558
21,972101202,504532670
22,972146344,504811078
23,972250968,504844624
24,972264864,504862206
25,972286330,504874128
26,972303142,504874296
27,972345020,504885082
28,972379646,504902808
29,972435044,504909532
30,972458944,504957746
31,972485498,504966938
32,972505014,504992034
33,972561262,505044388
34,972634038,505076718
35,972654168,505084732
36,972697090,505117784
37,972825702,505133370
38,972829030,505176704
39,972879816,505203252
40,972884378,505203812
41,972909450,505237842
42,972913626,505263004
43,972930100,505263590
44,973056584,505289972
45,973186784,505313986
46,973196188,505316682
47,973233546,505322466
48,973270228,505445650
49,973270262,505482604
50,973286440,505482946
51,973315054,505508998
52,973347162,505552186
53,973361694,505563156
54,973385232,505572346
55,973429970,505579882
56,973460292,505615126
57,973500598,505645946
58,973501594,505715574
59,973503362,505735136
60,973511896,505805354
61,973610548,505807230
62,973649028,505818182
63,973649698,505831912
64,973657750,505850250
65,973690674,505859546
66,973725922,505872844
67,973729668,505885484
68,973750030,505937534
69,973787848,506002574
70,973791710,506015732
71,973834578,506027228
72,973842842,506123502
73,973881140,506189932
74,973909384,506196688
75,973913911,506247198
76,973930144,506293710
77,973965516,506375510
78,974039348,506391280
79,974052738,506422670
80,974103736,506439946
81,974110598,506453736
82,974130084,506481244
83,974191458,506481816
84,974356588,506521986
85,974402110,506554136
86,974462066,506564228
87,974619268,506574020
88,974628406,506768438
89,974633698,506801448
90,974695428,506855406
91,974803234,506911864
92,974992844,507092798
93,975322520,507098662
94,975441250,507110040
95,975483934,507264558
96,975498518,507665760
97,975671696,507707320
98,975945388,508372464
99,976054482,508374234
