No.,2-isogeny-walk,3-isogeny-walk
0,24510788,12766960
1,24563246,12851174
2,24572000,12893324
3,24592213,12921444
4,24622334,12921883
5,24671485,12932824
6,24688238,12937573
7,24701994,12965995
8,24776167,12966353
9,24796720,12984932
10,24807201,12989768
11,24813705,12991575
12,24824884,12994909
13,24826975,13015275
14,24862546,13019606
15,24866504,13020197
16,24877795,13021425
17,24892097,13022568
18,24893831,13026694
19,24897031,13031804
20,24898712,13032188
21,24902484,13033549
22,24907121,13043549
23,24923126,13069926
24,24929372,13070911
25,24933409,13074502
26,24943905,13078952
27,24952148,13080451
28,24953723,13081678
29,24957276,13088612
30,24964929,13089773
31,24972982,13092780
32,24977510,13094634
33,24989557,13099168
34,24991691,13099242
35,24991696,13103343
36,25002828,13107440
37,25002954,13144210
38,25006747,13155906
39,25009975,13156186
40,25024495,13157378
41,25025218,13160036
42,25041469,13167935
43,25058070,13172994
44,25065790,13175960
45,25068907,13183171
46,25070935,13188074
47,25071069,13191669
48,25080579,13191857
49,25089137,13192010
50,25089154,13198222
51,25089292,13199031
52,25092558,13204659
53,25099636,13209369
54,25103955,13210446
55,25105211,13211819
56,25107868,13214521
57,25110549,13214574
58,25111350,13214588
59,25112242,13215662
60,25112480,13216479
61,25115252,13216919
62,25123774,13228277
63,25124137,13235570
64,25153059,13238263
65,25155192,13239014
66,25157635,13240095
67,25161195,13244846
68,25176232,13246178
69,25185037,13251437
70,25190863,13254930
71,25195394,13268858
72,25195667,13273511
73,25196307,13275202
74,25198012,13294175
75,25207356,13295280
76,25210559,13306778
77,25215900,13307682
78,25216311,13326996
79,25219661,13330342
80,25221982,13333376
81,25225492,13336699
82,25243282,13341198
83,25253651,13344482
84,25257675,13384595
85,25258283,13392112
86,25259030,13422238
87,25263099,13426422
88,25276455,13431944
89,25299892,13433553
90,25317272,13435478
91,25346670,13449655
92,25373489,13455539
93,25388557,13462890
94,25400548,13486127
95,25439388,13494568
96,25440980,13518836
97,25516224,13567265
98,25639619,13589587
99,27478890,13700827
