No.,2-isogeny-walk,3-isogeny-walk
0,254974576,130489732
1,255015822,130507342
2,255185550,130533862
3,255526576,130551752
4,255727570,130573252
5,255743780,130679318
6,255776070,130817994
7,255794338,130895320
8,255989666,130897364
9,255994992,130926926
10,256001338,130989308
11,256004758,131010498
12,256012714,131013746
13,256024902,131017442
14,256057244,131021820
15,256065460,131065776
16,256134404,131083420
17,256135456,131157090
18,256192988,131205266
19,256220326,131214122
20,256222278,131222200
21,256257658,131291240
22,256292530,131341224
23,256308948,131351814
24,256318762,131369260
25,256376762,131378314
26,256400140,131401986
27,256477316,131407638
28,256494664,131419086
29,256532506,131476624
30,256558006,131486758
31,256589104,131506234
32,256643900,131519744
33,256678452,131543838
34,256703646,131560278
35,256752844,131577450
36,256773024,131584464
37,256785922,131588478
38,256789950,131597856
39,256859226,131644892
40,256863548,131659112
41,256896736,131668236
42,256905688,131695412
43,257019380,131696224
44,257029644,131699800
45,257078396,131702442
46,257112838,131711334
47,257121502,131724438
48,257133930,131729624
49,257147796,131734318
50,257156950,131744776
51,257157714,131751994
52,257190560,131762458
53,257192168,131764020
54,257200872,131794784
55,257208716,131835746
56,257221690,131897176
57,257230948,131899730
58,257231950,131904258
59,257244922,131907748
60,257267386,131915564
61,257305638,131917260
62,257308952,131923078
63,257313300,132021446
64,257351770,132024152
65,257356208,132033320
66,257378200,132049232
67,257403204,132050274
68,257418406,132083986
69,257508672,132127878
70,257517616,132131554
71,257548262,132134800
72,257548500,132136190
73,257591086,132145614
74,257608936,132162452
75,257626422,132199882
76,257645642,132225014
77,257727488,132241246
78,257752094,132266712
79,257793538,132273086
80,257833956,132370898
81,257873440,132409896
82,257965472,132411686
83,257972848,132527382
84,258141312,132562680
85,258190520,132602584
86,258216280,132603170
87,258265924,132621580
88,258318454,132640942
89,258473424,132746720
90,258476910,132754474
91,258555470,132831636
92,258693658,132833788
93,258702400,132911028
94,258822186,132949874
95,258934382,133015478
96,259146714,133015818
97,259181770,133098496
98,259183082,133242684
99,268829253,134239674
