No.,2-isogeny-walk,3-isogeny-walk
0,57846915,68766339
1,57851655,68789994
2,57916145,68803927
3,57931545,68817749
4,57936240,68837746
5,57942301,68848137
6,57943193,68875726
7,57971477,68877631
8,57982757,68880472
9,57986468,68938034
10,57992833,68952711
11,57995069,68972569
12,58003804,68975646
13,58004885,68984221
14,58009214,68990752
15,58014666,68994096
16,58017412,69003115
17,58017930,69003765
18,58019854,69006193
19,58022935,69013332
20,58027256,69015508
21,58033886,69016126
22,58034107,69016143
23,58044629,69017033
24,58046019,69018436
25,58046141,69023007
26,58046274,69024883
27,58046436,69026402
28,58049763,69027429
29,58050161,69033077
30,58050477,69036069
31,58051592,69055390
32,58053629,69058351
33,58053750,69060531
34,58054393,69061000
35,58057139,69061497
36,58063458,69065227
37,58067462,69066522
38,58071502,69068068
39,58073924,69074423
40,58077409,69074820
41,58078704,69075812
42,58081327,69076302
43,58082224,69077635
44,58086047,69081349
45,58086650,69082039
46,58093242,69086857
47,58094414,69088192
48,58095614,69094073
49,58103935,69095464
50,58105177,69097095
51,58106124,69099094
52,58109077,69100302
53,58109166,69109522
54,58109893,69111329
55,58112061,69112046
56,58113397,69116446
57,58115016,69117300
58,58116552,69119514
59,58121556,69120466
60,58123601,69121237
61,58124036,69122146
62,58126693,69123260
63,58127170,69123617
64,58128964,69135141
65,58130978,69139562
66,58131387,69142363
67,58132883,69145939
68,58133583,69146159
69,58137023,69150105
70,58141737,69151769
71,58142805,69152776
72,58143775,69155776
73,58144514,69156067
74,58147592,69156553
75,58148491,69158732
76,58148898,69162314
77,58149517,69166372
78,58150450,69167516
79,58150794,69168247
80,58151388,69173163
81,58152808,69178900
82,58152940,69178950
83,58154276,69186982
84,58155304,69188602
85,58156191,69188663
86,58157005,69189689
87,58160485,69189885
88,58161723,69190299
89,58162434,69193374
90,58166169,69194004
91,58168346,69194206
92,58168577,69194742
93,58168912,69197239
94,58169994,69199425
95,58170593,69199625
96,58170933,69200128
97,58171565,69202333
98,58172417,69206111
99,58176747,69207109
100,58177901,69207468
101,58178875,69208389
102,58179821,69209975
103,58181654,69212735
104,58182359,69214557
105,58184784,69216972
106,58185267,69217313
107,58185428,69218688
108,58186843,69218842
109,58190980,69218882
110,58192860,69219045
111,58195651,69220871
112,58204660,69224596
113,58205531,69226601
114,58206079,69226912
115,58206513,69227367
116,58206738,69229807
117,58207193,69230117
118,58208848,69235715
119,58209349,69237363
120,58210110,69237719
121,58210619,69239534
122,58211087,69241211
123,58211790,69243015
124,58212035,69244451
125,58214790,69244647
126,58215081,69245690
127,58216643,69246664
128,58216756,69248116
129,58217287,69248509
130,58217401,69249044
131,58218093,69250148
132,58218961,69250875
133,58220741,69251726
134,58221276,69252022
135,58221442,69256769
136,58221450,69258044
137,58221766,69258195
138,58222965,69258863
139,58223012,69260405
140,58223521,69262263
141,58223987,69263155
142,58226591,69265337
143,58227985,69265400
144,58228256,69265644
145,58230439,69266079
146,58230517,69267065
147,58232403,69267762
148,58233293,69270452
149,58233894,69270555
150,58235416,69270881
151,58236508,69271334
152,58236713,69271938
153,58237162,69272294
154,58241028,69273921
155,58241292,69276958
156,58242731,69277194
157,58243570,69280505
158,58244449,69280557
159,58244989,69288916
160,58245031,69289269
161,58245250,69290001
162,58247123,69291367
163,58248425,69294289
164,58248497,69294908
165,58248857,69296045
166,58249672,69297374
167,58250748,69297505
168,58252021,69299162
169,58252713,69299214
170,58253648,69301782
171,58256463,69301796
172,58258928,69302409
173,58259759,69302951
174,58260098,69303840
175,58260466,69305518
176,58260585,69308212
177,58264769,69308804
178,58264992,69311223
179,58265100,69311528
180,58265837,69314578
181,58266302,69315046
182,58268061,69315120
183,58269247,69316006
184,58269274,69318020
185,58269849,69320171
186,58270121,69321290
187,58270390,69322973
188,58273951,69322975
189,58274892,69324262
190,58274909,69324843
191,58276592,69325424
192,58276620,69328179
193,58276919,69328954
194,58277240,69329447
195,58278789,69329637
196,58279594,69330812
197,58281081,69331939
198,58281582,69332148
199,58284068,69334762
200,58284906,69335731
201,58286053,69337547
202,58286550,69338134
203,58286779,69338397
204,58287389,69338424
205,58287525,69339382
206,58288623,69339788
207,58289856,69342166
208,58292043,69343993
209,58293806,69344972
210,58293840,69345513
211,58293985,69346504
212,58294718,69346671
213,58294975,69348602
214,58295216,69348666
215,58295558,69349095
216,58296824,69349268
217,58297708,69352540
218,58297952,69354183
219,58298373,69354472
220,58299162,69355542
221,58299406,69357763
222,58302014,69358492
223,58303215,69365019
224,58304536,69366331
225,58305825,69366347
226,58307276,69366437
227,58307825,69367019
228,58307952,69368172
229,58308685,69369359
230,58309930,69370580
231,58312754,69371143
232,58315167,69371152
233,58316958,69373313
234,58317066,69375337
235,58317288,69375814
236,58318054,69377862
237,58320471,69379013
238,58320945,69379884
239,58322364,69380238
240,58323418,69381201
241,58324485,69381282
242,58325379,69381299
243,58325868,69381956
244,58326606,69382847
245,58326951,69385428
246,58327693,69385724
247,58328364,69388583
248,58328689,69388966
249,58329300,69391303
250,58329582,69391352
251,58330423,69391715
252,58331835,69394491
253,58332049,69395566
254,58333293,69396493
255,58334513,69397736
256,58334670,69399779
257,58334706,69400394
258,58336439,69402672
259,58336595,69405286
260,58337781,69408839
261,58337813,69409451
262,58338685,69410613
263,58338773,69411586
264,58340325,69411698
265,58342900,69411815
266,58344244,69412442
267,58344989,69414261
268,58345576,69415797
269,58346060,69416440
270,58346100,69417377
271,58347876,69419138
272,58348843,69420786
273,58349447,69420910
274,58349611,69421809
275,58349702,69424793
276,58350290,69425592
277,58351351,69427277
278,58351661,69428160
279,58352677,69428312
280,58352917,69430490
281,58353362,69430697
282,58353982,69431174
283,58354848,69432423
284,58355026,69432932
285,58358564,69433754
286,58358574,69434255
287,58358943,69436334
288,58360426,69437747
289,58360838,69438628
290,58363720,69438951
291,58364453,69439207
292,58365975,69448088
293,58366888,69450076
294,58367089,69450361
295,58368895,69450829
296,58369023,69451948
297,58369076,69452278
298,58369166,69454765
299,58372680,69454835
300,58374093,69455103
301,58376440,69455963
302,58377558,69458407
303,58377673,69461025
304,58378252,69462834
305,58379003,69465231
306,58382641,69466693
307,58383164,69467339
308,58383824,69467506
309,58383993,69471525
310,58385814,69471525
311,58385980,69474188
312,58386097,69475448
313,58387137,69475624
314,58387755,69475821
315,58388108,69476297
316,58388637,69476668
317,58391169,69477117
318,58391680,69477778
319,58392320,69479258
320,58392965,69479613
321,58393167,69481211
322,58394700,69482406
323,58396491,69482599
324,58396680,69484896
325,58397156,69485333
326,58397974,69485603
327,58400609,69485982
328,58401089,69489751
329,58401348,69492625
330,58402864,69499124
331,58403266,69500143
332,58403937,69500660
333,58406768,69501555
334,58411504,69505643
335,58412289,69505733
336,58413711,69505814
337,58417096,69506479
338,58417703,69511356
339,58418184,69511676
340,58418227,69513069
341,58418514,69513377
342,58419236,69516063
343,58419856,69516599
344,58420375,69518642
345,58421011,69522112
346,58422181,69523189
347,58423079,69523282
348,58423706,69524660
349,58423773,69525543
350,58427916,69525923
351,58428036,69527677
352,58429002,69528054
353,58430245,69528083
354,58430710,69528598
355,58431343,69532102
356,58432143,69532190
357,58434388,69532937
358,58435859,69534804
359,58436966,69537193
360,58437896,69537897
361,58439083,69540422
362,58439251,69540598
363,58439383,69544084
364,58440787,69544996
365,58440959,69545429
366,58442435,69545468
367,58442463,69546053
368,58445953,69553802
369,58446078,69554007
370,58449413,69556610
371,58449426,69557991
372,58450333,69558956
373,58450901,69560167
374,58451801,69560717
375,58452800,69561105
376,58454325,69562409
377,58455272,69563038
378,58456435,69564089
379,58457478,69564648
380,58458864,69565992
381,58460621,69566841
382,58463016,69569372
383,58464952,69571605
384,58465301,69572224
385,58465312,69573095
386,58466275,69573839
387,58466671,69574645
388,58466896,69582433
389,58470349,69582457
390,58470505,69584310
391,58471565,69584388
392,58471930,69584666
393,58473315,69586120
394,58474434,69586173
395,58476069,69590935
396,58476778,69591098
397,58476843,69592155
398,58477274,69594885
399,58478190,69596067
400,58479187,69598873
401,58480272,69599467
402,58481267,69600836
403,58481950,69603715
404,58483779,69606000
405,58484499,69606700
406,58485126,69607646
407,58485318,69611002
408,58489584,69613768
409,58493610,69615113
410,58494102,69615878
411,58494479,69619956
412,58494520,69620960
413,58494569,69622925
414,58495546,69624214
415,58495584,69629586
416,58495933,69629944
417,58497647,69631405
418,58499358,69639782
419,58500786,69640030
420,58502358,69640405
421,58502428,69640850
422,58505693,69643770
423,58508794,69648050
424,58509048,69650716
425,58509371,69652274
426,58510289,69653202
427,58513261,69654250
428,58514818,69654509
429,58516066,69655925
430,58516438,69656156
431,58518681,69656707
432,58523777,69657388
433,58523833,69662066
434,58526716,69662824
435,58532808,69665650
436,58534667,69678994
437,58537738,69682547
438,58537984,69687195
439,58538861,69689607
440,58541371,69690204
441,58543484,69695361
442,58544773,69699731
443,58546110,69710693
444,58546959,69715357
445,58547566,69720560
446,58549361,69721682
447,58551119,69721907
448,58552673,69722988
449,58555052,69732864
450,58560396,69736337
451,58560873,69737356
452,58561651,69739315
453,58561891,69741280
454,58563563,69743378
455,58566469,69745439
456,58569384,69745517
457,58569597,69745721
458,58574746,69747050
459,58579323,69749345
460,58580470,69755440
461,58583462,69755913
462,58589032,69758430
463,58591690,69761365
464,58593194,69767656
465,58593908,69773885
466,58594241,69775755
467,58595675,69783449
468,58598174,69788787
469,58598282,69799823
470,58600957,69801351
471,58602176,69804289
472,58602308,69804630
473,58604929,69806645
474,58606211,69812867
475,58610163,69814611
476,58610486,69819853
477,58630639,69827744
478,58633063,69828175
479,58638114,69830597
480,58641516,69836719
481,58643743,69847148
482,58645551,69852923
483,58657639,69868017
484,58660723,69889698
485,58664064,69891245
486,58673175,69909838
487,58678204,69928563
488,58695559,69929280
489,58699399,69941863
490,58700312,69944222
491,58712703,69945038
492,58716671,69965336
493,58723830,69965615
494,58802666,69980614
495,58807046,69997504
496,58820077,70094399
497,58844336,70136834
498,58885716,70211804
499,58911613,70493371
