No.,2-isogeny-walk,3-isogeny-walk
0,572036295,593791512
1,572058601,593814107
2,572085547,593825822
3,572090425,593835669
4,572174669,593847265
5,572198517,593854780
6,572216122,593892036
7,572231374,593897624
8,572231893,593903604
9,572249384,593905025
10,572262685,593913454
11,572266717,593913771
12,572266733,593929080
13,572274883,593942857
14,572298170,593952454
15,572304979,593958927
16,572310276,593964011
17,572314769,593964525
18,572327513,593972279
19,572329410,593975208
20,572331711,593977409
21,572338094,593977491
22,572338970,593988751
23,572359052,593993827
24,572359416,593994537
25,572361942,593999611
26,572376364,594030435
27,572378838,594036271
28,572386504,594039281
29,572389879,594047836
30,572394522,594052104
31,572400561,594053185
32,572404167,594053865
33,572405080,594053882
34,572408179,594054046
35,572409382,594056277
36,572412983,594062712
37,572414794,594063374
38,572417568,594072407
39,572420648,594076526
40,572421539,594085779
41,572422075,594087048
42,572423434,594093753
43,572424428,594106098
44,572430631,594109335
45,572435973,594117691
46,572443170,594120781
47,572446449,594124059
48,572446622,594126142
49,572452703,594126586
50,572453102,594129452
51,572456034,594131306
52,572461790,594133929
53,572471842,594134733
54,572474391,594140855
55,572480194,594145276
56,572480720,594146657
57,572482948,594148629
58,572485640,594148867
59,572493183,594151931
60,572495439,594152676
61,572495837,594161966
62,572496020,594163536
63,572496119,594163985
64,572498015,594169337
65,572500158,594171529
66,572500261,594173790
67,572502076,594175886
68,572507023,594177198
69,572508635,594179828
70,572509380,594196532
71,572510710,594201305
72,572512909,594213378
73,572513279,594216020
74,572513483,594219038
75,572523976,594220628
76,572526561,594221431
77,572526739,594223764
78,572527834,594228832
79,572529554,594231919
80,572534135,594237783
81,572537826,594240251
82,572541039,594241034
83,572547252,594241061
84,572548871,594244526
85,572555768,594246149
86,572556676,594248957
87,572560142,594249781
88,572562152,594254709
89,572562281,594255732
90,572567885,594256149
91,572570422,594258012
92,572572190,594258901
93,572577323,594260142
94,572578298,594263650
95,572579436,594263829
96,572580346,594265428
97,572584307,594276788
98,572584986,594277676
99,572587714,594279420
100,572589109,594282474
101,572590677,594284417
102,572591108,594288220
103,572593232,594288497
104,572594386,594288772
105,572599326,594289711
106,572599500,594291194
107,572604085,594291941
108,572605007,594295856
109,572606139,594296844
110,572607034,594297589
111,572608769,594301673
112,572610378,594303149
113,572611898,594304103
114,572619819,594304749
115,572622868,594305914
116,572625345,594306374
117,572625913,594306802
118,572626731,594308425
119,572628142,594313609
120,572629817,594319621
121,572631783,594322241
122,572632509,594322809
123,572634178,594325113
124,572634412,594325789
125,572635241,594326125
126,572637642,594333202
127,572637897,594334216
128,572640051,594337705
129,572641272,594338803
130,572643898,594343499
131,572646471,594344931
132,572646879,594346081
133,572654502,594346619
134,572656125,594349310
135,572657190,594349314
136,572659119,594350250
137,572659756,594350387
138,572665051,594352565
139,572666661,594357406
140,572667816,594357721
141,572669207,594361215
142,572669940,594362705
143,572670502,594364924
144,572674244,594365695
145,572675050,594367006
146,572676910,594367035
147,572677489,594367106
148,572678628,594368431
149,572679179,594370175
150,572679286,594372328
151,572681699,594374193
152,572681858,594378965
153,572681921,594380668
154,572682573,594382757
155,572685823,594385896
156,572686816,594387230
157,572687570,594389367
158,572690527,594393793
159,572690959,594394387
160,572693810,594411058
161,572694119,594412962
162,572701203,594413317
163,572701354,594414589
164,572704941,594416168
165,572705438,594416560
166,572706291,594417119
167,572706395,594419081
168,572708707,594420319
169,572711505,594428301
170,572711585,594430299
171,572713305,594432205
172,572714181,594432891
173,572715205,594435474
174,572715477,594436415
175,572716337,594443406
176,572717636,594443881
177,572717743,594444030
178,572718039,594444644
179,572718563,594444746
180,572719707,594445198
181,572721156,594446500
182,572721611,594450681
183,572721660,594451122
184,572722075,594454757
185,572723487,594455266
186,572724648,594457395
187,572724733,594457626
188,572725904,594460371
189,572728609,594465404
190,572728611,594467852
191,572729378,594468548
192,572730038,594468751
193,572734048,594470025
194,572734446,594470708
195,572734721,594474461
196,572735864,594475506
197,572736015,594479317
198,572738063,594486366
199,572739115,594488135
200,572739176,594488662
201,572740487,594488780
202,572741041,594489165
203,572745390,594489468
204,572752685,594491247
205,572753413,594492252
206,572754084,594492940
207,572754611,594492999
208,572755972,594493231
209,572761618,594495335
210,572764212,594496272
211,572767053,594500692
212,572768466,594502705
213,572768575,594506714
214,572769576,594507666
215,572770978,594508852
216,572775508,594509453
217,572776280,594510348
218,572776357,594510683
219,572777046,594513004
220,572780957,594513070
221,572782253,594513313
222,572783219,594515907
223,572784181,594516514
224,572785041,594516573
225,572785786,594516693
226,572787780,594521252
227,572788976,594522334
228,572789541,594522966
229,572790669,594525046
230,572791666,594526339
231,572795079,594526841
232,572795254,594528414
233,572797901,594528581
234,572798194,594529907
235,572798233,594532977
236,572798891,594534393
237,572799617,594534856
238,572800791,594535678
239,572801567,594536520
240,572802933,594537262
241,572803250,594538134
242,572805761,594539325
243,572806381,594540809
244,572806562,594540884
245,572807157,594540986
246,572808011,594543349
247,572813002,594544069
248,572816223,594544101
249,572816534,594544683
250,572820663,594545102
251,572822534,594547084
252,572828230,594547671
253,572828424,594550197
254,572828670,594550895
255,572829144,594555342
256,572829194,594555552
257,572831711,594556773
258,572832853,594556944
259,572833676,594560258
260,572834296,594562909
261,572834825,594563014
262,572835182,594566218
263,572835862,594566506
264,572838831,594567082
265,572838997,594568299
266,572839486,594569197
267,572842781,594571670
268,572843071,594573675
269,572851160,594579812
270,572851182,594580600
271,572854190,594582479
272,572856200,594585126
273,572858836,594585631
274,572859284,594587212
275,572861373,594588215
276,572862978,594592369
277,572863386,594593220
278,572865568,594594379
279,572866504,594595843
280,572867792,594596228
281,572874853,594598112
282,572876526,594599432
283,572877140,594599437
284,572878359,594602046
285,572878390,594602487
286,572880016,594604109
287,572880286,594604349
288,572880363,594606611
289,572881503,594606709
290,572882469,594606978
291,572883725,594607217
292,572883779,594607651
293,572886076,594607947
294,572888142,594609888
295,572889957,594614179
296,572891449,594616640
297,572893962,594618992
298,572894129,594619657
299,572894166,594624496
300,572894748,594626795
301,572895358,594628873
302,572900983,594634677
303,572901599,594634690
304,572902451,594635224
305,572902666,594638134
306,572902694,594641880
307,572903579,594642155
308,572906249,594644322
309,572907826,594648797
310,572909485,594659029
311,572910529,594660221
312,572911955,594661448
313,572915096,594662456
314,572917452,594663194
315,572917616,594664616
316,572918014,594665460
317,572919071,594666326
318,572923134,594666545
319,572926853,594666909
320,572932284,594667236
321,572933937,594668203
322,572937632,594668413
323,572940323,594669150
324,572940552,594669782
325,572940581,594670923
326,572941131,594672790
327,572944875,594672952
328,572945838,594673267
329,572948687,594675276
330,572952329,594676478
331,572953066,594680999
332,572955307,594683943
333,572957525,594685743
334,572958776,594686809
335,572962576,594687927
336,572962786,594688803
337,572963049,594690933
338,572964884,594693224
339,572965174,594694758
340,572965741,594697876
341,572966492,594698141
342,572966694,594699189
343,572967483,594704830
344,572970037,594705828
345,572972401,594706117
346,572977459,594707067
347,572977916,594708177
348,572985457,594708264
349,572985902,594709367
350,572989434,594710762
351,572990133,594711656
352,572990333,594712474
353,572990551,594712566
354,572991613,594713878
355,572993936,594714237
356,572996021,594716123
357,572996328,594717513
358,572996702,594719503
359,572996962,594720656
360,573000605,594721266
361,573004193,594722057
362,573004409,594722583
363,573006152,594722919
364,573007407,594723271
365,573009276,594724372
366,573009927,594731391
367,573014398,594734439
368,573015498,594734587
369,573016849,594736061
370,573018055,594738234
371,573021257,594744013
372,573021520,594745988
373,573023469,594749221
374,573025866,594754129
375,573027877,594754735
376,573029452,594758788
377,573029564,594764184
378,573030426,594766733
379,573031494,594769928
380,573031858,594770374
381,573033893,594771020
382,573037302,594771650
383,573041790,594774501
384,573042393,594779067
385,573048059,594780426
386,573048437,594782617
387,573049546,594784953
388,573052132,594788512
389,573053634,594789039
390,573054142,594789994
391,573056246,594790588
392,573056748,594791539
393,573057910,594792313
394,573058201,594793036
395,573061340,594795784
396,573063493,594797293
397,573064517,594799582
398,573067358,594801834
399,573067364,594808966
400,573071462,594810516
401,573072664,594812078
402,573074147,594814234
403,573075431,594823925
404,573075973,594825097
405,573077684,594825726
406,573078450,594825920
407,573079580,594826484
408,573082652,594829079
409,573083283,594830436
410,573083852,594831061
411,573084967,594833482
412,573087506,594834985
413,573089238,594835160
414,573090935,594846737
415,573091887,594846822
416,573099857,594848753
417,573100445,594848791
418,573102246,594852744
419,573102536,594853280
420,573106372,594856845
421,573106677,594859485
422,573107628,594860137
423,573109447,594860719
424,573109480,594863727
425,573117000,594868955
426,573118786,594870073
427,573120881,594872264
428,573121109,594874020
429,573132078,594875574
430,573132273,594877184
431,573136192,594886409
432,573137057,594887232
433,573138477,594887713
434,573142257,594890602
435,573143091,594894334
436,573144047,594897126
437,573145366,594897886
438,573146451,594900227
439,573147158,594902362
440,573147183,594902518
441,573147705,594910981
442,573151684,594916644
443,573156300,594919866
444,573157634,594925826
445,573168138,594932363
446,573169964,594940458
447,573172999,594949804
448,573176419,594951265
449,573178881,594953298
450,573180703,594955201
451,573186199,594957920
452,573186775,594963599
453,573189135,594970957
454,573189999,594975769
455,573190496,594982066
456,573195435,594982988
457,573196842,594984441
458,573203189,594985492
459,573207047,594988510
460,573217454,594990674
461,573219219,594991007
462,573225925,594996861
463,573230267,595002652
464,573231627,595003927
465,573234418,595006414
466,573237530,595010628
467,573246866,595015263
468,573249616,595015867
469,573251409,595018626
470,573253128,595028893
471,573264299,595034726
472,573276526,595038301
473,573284121,595056538
474,573295508,595063235
475,573297534,595075015
476,573298406,595092775
477,573303939,595097815
478,573305535,595116054
479,573315816,595121616
480,573320824,595125097
481,573323266,595127397
482,573334556,595134198
483,573335305,595139698
484,573335665,595150292
485,573353593,595151686
486,573355243,595151705
487,573367763,595161242
488,573367884,595174479
489,573375695,595179586
490,573382745,595188334
491,573383501,595188499
492,573387949,595197709
493,573433216,595292175
494,573463141,595305386
495,573542783,595327968
496,573581595,595394497
497,573590045,595467377
498,573681760,595564473
499,573757667,604411811
