No.,2-isogeny-walk,3-isogeny-walk
0,143023837,144430757
1,143057463,144628600
2,143067168,144671970
3,143082090,144672559
4,143086928,144713102
5,143100694,144729740
6,143111763,144741608
7,143147411,144769776
8,143155205,144771941
9,143163370,144772200
10,143188144,144773352
11,143198565,144774547
12,143200652,144776997
13,143215728,144777701
14,143221048,144783507
15,143223250,144783706
16,143225559,144789560
17,143241112,144793274
18,143245458,144802864
19,143249937,144813097
20,143260388,144817070
21,143261477,144821724
22,143268070,144829165
23,143268857,144838174
24,143269322,144840818
25,143271767,144854339
26,143276474,144854599
27,143289939,144855179
28,143303376,144862014
29,143309365,144862970
30,143316854,144863043
31,143317467,144865692
32,143321788,144866611
33,143323314,144871382
34,143331642,144874829
35,143336013,144888983
36,143341628,144894475
37,143344490,144897098
38,143349964,144899503
39,143359526,144901241
40,143367503,144903587
41,143370428,144907324
42,143371879,144910596
43,143373034,144911121
44,143377312,144912678
45,143380946,144913672
46,143392394,144914476
47,143401556,144917201
48,143411369,144919216
49,143412109,144922960
50,143421453,144924122
51,143423780,144927442
52,143424797,144929861
53,143428722,144935047
54,143434613,144935230
55,143434933,144936720
56,143450600,144944985
57,143452019,144951872
58,143454421,144952318
59,143458262,144956727
60,143459994,144963201
61,143461683,144964622
62,143463890,144967117
63,143473319,144977901
64,143476534,144980099
65,143479965,144980632
66,143479971,144980657
67,143481195,144988717
68,143489672,144990936
69,143493610,144992308
70,143502048,144995490
71,143503000,144996144
72,143506864,144997647
73,143507248,145000635
74,143508434,145004331
75,143509606,145010376
76,143515999,145013520
77,143516523,145015079
78,143520758,145022368
79,143521095,145023993
80,143523839,145029270
81,143525417,145032666
82,143526154,145032767
83,143526919,145035731
84,143527202,145035831
85,143527765,145041664
86,143533265,145043033
87,143541285,145045852
88,143541936,145047380
89,143544715,145048505
90,143545432,145049326
91,143550048,145049724
92,143550987,145050000
93,143552631,145050775
94,143556158,145051100
95,143558089,145057768
96,143558584,145058072
97,143560233,145063993
98,143560440,145064419
99,143561384,145065611
100,143561902,145068068
101,143564404,145070686
102,143564882,145070879
103,143565598,145073048
104,143566547,145074752
105,143569459,145075146
106,143572673,145076333
107,143574608,145078146
108,143575238,145082072
109,143576806,145084047
110,143576869,145085257
111,143577741,145086742
112,143577762,145087065
113,143577884,145087715
114,143578029,145088193
115,143584817,145090130
116,143584861,145093937
117,143588965,145097133
118,143590158,145098525
119,143593977,145098641
120,143594536,145102478
121,143596615,145104237
122,143599747,145109902
123,143600307,145111257
124,143600654,145112678
125,143602243,145117602
126,143606022,145118999
127,143606720,145119682
128,143611263,145119688
129,143613896,145122449
130,143614486,145122823
131,143616090,145123349
132,143616456,145125052
133,143616628,145132338
134,143617246,145136557
135,143618193,145137077
136,143622403,145140038
137,143623022,145141570
138,143623530,145142691
139,143624430,145143916
140,143625236,145144066
141,143627438,145146814
142,143630310,145148189
143,143634180,145149000
144,143634485,145152129
145,143634650,145152457
146,143635343,145154147
147,143635882,145154685
148,143636184,145155262
149,143636886,145156432
150,143639093,145163712
151,143639448,145163756
152,143639807,145170360
153,143639860,145173190
154,143643617,145174420
155,143644038,145175754
156,143646259,145176328
157,143646842,145177066
158,143651393,145178250
159,143651705,145178621
160,143654105,145179860
161,143654550,145180722
162,143655171,145180835
163,143655181,145183068
164,143656194,145185682
165,143658400,145187218
166,143658575,145187352
167,143659413,145188945
168,143660907,145189241
169,143661035,145190206
170,143661509,145192616
171,143661898,145192676
172,143662173,145195267
173,143665032,145195890
174,143668678,145196245
175,143669121,145196605
176,143669304,145197745
177,143670042,145198110
178,143670757,145198798
179,143670902,145200488
180,143672303,145200741
181,143674152,145200891
182,143676223,145201672
183,143676709,145205668
184,143677160,145207426
185,143677606,145208112
186,143678317,145208600
187,143681212,145209066
188,143692052,145209642
189,143695721,145209729
190,143697355,145209920
191,143697946,145210729
192,143699603,145210938
193,143704973,145211425
194,143709403,145212722
195,143711705,145213136
196,143715152,145215002
197,143716334,145217139
198,143716901,145217332
199,143719450,145228814
200,143719670,145228942
201,143724755,145230203
202,143731713,145233832
203,143733304,145235216
204,143733520,145235354
205,143733756,145235827
206,143735285,145236795
207,143739159,145238571
208,143740114,145240350
209,143741171,145240688
210,143742529,145240962
211,143743042,145241572
212,143744459,145241838
213,143746672,145242733
214,143747265,145243289
215,143747567,145243630
216,143750446,145245759
217,143753208,145246200
218,143759850,145249597
219,143760366,145249822
220,143760509,145250009
221,143761879,145250483
222,143762312,145252195
223,143764560,145252283
224,143766895,145254580
225,143768974,145257184
226,143772606,145260722
227,143773128,145261503
228,143773689,145263680
